PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
26,1,3,"Smith, Mr. John",male,19,0,0,113783,15.2692,,S
27,0,2,"Brown, Mr. William",male,9,0,1,347742,29.2856,,S
28,0,3,"Brown, Mr. William",male,20,0,0,113803,19.9599,A12,C
29,0,3,"Jackson, Miss. Florence",female,,1,0,237736,10.7715,D56,Q
30,1,3,"Wilson, Miss. Margaret",female,,1,0,248706,9.0024,,S
31,1,1,"Anderson, Mr. Joseph",male,22,0,0,330877,134.4275,,S
32,1,2,"Jones, Mr. Robert",male,1,2,0,347742,24.6582,E46,S
33,1,1,"Taylor, Miss. Annie",female,40,1,1,237736,47.4685,F33,S
34,1,3,"Moore, Mr. Thomas",male,38,1,0,345763,15.6942,E46,C
35,0,3,"Smith, Mr. John",male,,0,0,PC 17599,5.1079,,S
36,0,3,"Taylor, Mr. Henry",male,25,2,0,373450,12.0901,C103,S
37,0,1,"Jones, Mr. Robert",male,21,1,0,113783,197.2289,,C
38,0,3,"Jones, Mr. Robert",male,,0,0,373450,11.9394,D56,Q
39,1,1,"Moore, Mrs. Thomas (Clara)",female,57,0,0,350406,62.4058,,S
40,1,1,"Anderson, Mr. Joseph",male,23,0,0,349909,152.8384,B78,S
41,0,2,"Brown, Mrs. William (Sarah)",female,7,0,0,113803,35.5816,,Q
42,1,3,"Jackson, Mr. Samuel",male,,0,2,13502,13.5451,,S
43,1,1,"Miller, Mrs. Charles (Helen)",female,22,0,0,PP 9549,79.9822,G6,S
44,1,3,"Brown, Mrs. William (Sarah)",female,46,0,0,347742,12.5883,E46,S
45,0,2,"Smith, Mr. John",male,31,0,3,373450,29.6193,F33,S
46,0,3,"Wilson, Mr. George",male,,0,0,345763,14.0724,,S
47,0,3,"Miller, Mrs. Charles (Helen)",female,39,0,1,2649,14.5567,,C
48,1,3,"Wilson, Mr. George",male,,1,0,330877,5.5404,E101,Q
49,1,2,"Davis, Mr. James",male,38,3,0,2649,20.7343,,S
50,1,3,"Smith, Mr. John",male,48,3,1,248706,18.2212,,S
51,0,3,"Taylor, Miss. Annie",female,52,1,0,382652,18.0825,,S
52,1,2,"Wilson, Miss. Margaret",female,31,0,0,2649,33.1998,A12,C
53,0,2,"Jackson, Mr. Samuel",male,50,0,3,113783,11.1477,C103,S
54,1,2,"Anderson, Mrs. Joseph (Bertha)",female,,0,0,347082,23.0817,F33,S
55,1,2,"Wilson, Miss. Margaret",female,14,1,0,2649,30.0068,G6,S
56,1,1,"Anderson, Mr. Joseph",male,15,1,0,PP 9549,77.6662,,S
57,1,1,"Brown, Mrs. William (Sarah)",female,21,0,1,345763,192.9706,,S
58,1,3,"Brown, Mr. William",male,,0,0,347742,17.0984,,S
59,0,3,"Moore, Mr. Thomas",male,43,1,0,347742,15.7752,B78,C
60,1,1,"Taylor, Miss. Annie",female,45,0,1,347742,146.7846,,Q
61,0,3,"Taylor, Mr. Henry",male,,0,0,248706,9.7595,,Q
62,0,3,"Miller, Mr. Charles",male,7,0,0,347742,8.7086,A12,C
63,0,2,"Davis, Mr. James",male,28,0,0,248706,30.8185,,C
64,0,2,"Smith, Mr. John",male,,0,1,244373,38.3819,E101,C
65,1,1,"Anderson, Mr. Joseph",male,42,2,0,244373,155.8152,,S
66,0,1,"Taylor, Mr. Henry",male,,0,0,A/5 21171,53.8828,,Q
67,1,3,"Taylor, Mr. Henry",male,42,0,0,350406,9.9103,C123,S
68,1,2,"Wilson, Miss. Margaret",female,34,0,0,PC 17599,11.5626,,S
69,0,3,"Jackson, Miss. Florence",female,,0,0,237736,15.0419,,C
70,1,3,"Miller, Mr. Charles",male,29,2,0,350406,5.3852,E101,C
71,1,3,"Jackson, Mr. Samuel",male,23,0,0,347082,9.5237,,S
72,1,3,"Moore, Mrs. Thomas (Clara)",female,,0,0,330877,12.353,E46,C
73,1,2,"Miller, Mrs. Charles (Helen)",female,25,0,0,113803,31.9308,C123,S
74,0,2,"Wilson, Mr. George",male,55,0,0,349909,24.8292,,C
75,0,2,"Moore, Mr. Thomas",male,6,0,0,347742,17.2407,B78,Q
76,1,3,"Miller, Mr. Charles",male,13,0,0,244373,15.3768,E101,S
77,0,3,"Wilson, Mr. George",male,17,0,0,17463,15.8193,,Q
78,1,1,"Davis, Miss. Emma",female,24,1,0,347082,196.5894,C85,S
79,0,1,"Taylor, Mr. Henry",male,24,1,0,19952,176.9807,,S
80,1,2,"Jones, Mr. Robert",male,67,0,1,113803,13.4226,G6,C
81,1,3,"Anderson, Mrs. Joseph (Bertha)",female,,2,0,345763,8.7229,C103,S
82,1,2,"Davis, Miss. Emma",female,16,0,2,113803,12.977,,S
83,0,1,"Davis, Mr. James",male,,0,0,382652,75.9704,C85,S
84,1,1,"Jones, Mr. Robert",male,22,0,1,330877,59.6184,F33,S
85,0,3,"Miller, Mrs. Charles (Helen)",female,,0,0,382652,13.5381,D56,S
86,0,3,"Miller, Mrs. Charles (Helen)",female,12,0,0,347742,9.8348,,S
87,1,3,"Smith, Mrs. John (Mary)",female,27,4,0,345763,9.0427,,C
88,1,3,"Wilson, Miss. Margaret",female,,0,0,113783,6.3686,C103,S
89,1,3,"Wilson, Miss. Margaret",female,24,1,0,373450,11.8224,,S
90,1,3,"Davis, Mr. James",male,19,0,0,13502,11.1987,A12,S
91,1,3,"Jackson, Mr. Samuel",male,35,0,0,PP 9549,6.8214,,S
92,1,3,"Brown, Mr. William",male,,2,0,345763,6.762,B78,S
93,0,3,"Jackson, Mr. Samuel",male,46,0,0,113803,7.8592,A12,S
94,1,2,"Taylor, Miss. Annie",female,42,0,0,2649,27.6081,,C
95,0,3,"Davis, Mr. James",male,23,2,1,347742,19.7116,E101,C
96,0,3,"Brown, Mr. William",male,1,3,1,330877,14.7803,B78,S
97,1,3,"Brown, Mr. William",male,35,0,0,113803,11.8539,C103,S
98,1,3,"Wilson, Miss. Margaret",female,21,1,1,PC 17599,10.7001,B78,Q
99,0,3,"Jones, Mr. Robert",male,11,0,0,PP 9549,19.6751,D56,S
100,0,3,"Brown, Mr. William",male,26,0,0,13502,16.8878,,S
101,1,3,"Miller, Mr. Charles",male,43,0,0,PP 9549,8.8097,,C
102,0,3,"Davis, Mr. James",male,19,0,0,373450,17.6796,G6,C
103,1,1,"Miller, Mr. Charles",male,45,0,2,13502,140.1902,,S
104,1,3,"Brown, Mrs. William (Sarah)",female,29,0,0,PP 9549,8.7594,,S
105,0,3,"Davis, Mr. James",male,20,1,0,347082,11.2325,,Q
106,0,3,"Jones, Miss. Alice",female,26,1,0,330877,10.0807,D56,S
107,0,3,"Jones, Mr. Robert",male,56,0,1,237736,13.3597,G6,S
108,1,3,"Smith, Mr. John",male,21,2,0,113783,8.5073,,Q
109,1,3,"Brown, Mr. William",male,,1,0,PP 9549,11.1244,,S
110,0,3,"Anderson, Mr. Joseph",male,13,0,0,248706,19.2407,C103,S
111,1,3,"Wilson, Miss. Margaret",female,37,0,0,2649,8.5417,,S
112,0,3,"Jones, Mr. Robert",male,,2,2,PC 17599,17.3629,,S
113,0,3,"Davis, Mr. James",male,,0,1,330877,8.1074,,S
114,1,3,"Jones, Mr. Robert",male,25,3,0,A/5 21171,16.9777,,S
115,1,2,"Taylor, Miss. Annie",female,38,0,0,19952,11.9067,E46,Q
116,0,1,"Taylor, Mr. Henry",male,31,1,1,244373,116.254,,S
117,0,3,"Brown, Mr. William",male,,0,2,237736,9.8317,,S
118,0,3,"Jones, Mr. Robert",male,16,0,0,248706,16.8964,F33,S
119,0,3,"Miller, Mr. Charles",male,42,0,0,244373,11.4015,E46,S
120,1,1,"Jackson, Miss. Florence",female,,1,1,113783,122.3649,F33,Q
121,1,3,"Jones, Mr. Robert",male,43,0,0,349909,9.6867,E101,Q
122,0,1,"Davis, Mr. James",male,24,0,0,13502,73.7494,C103,Q
123,1,3,"Miller, Mr. Charles",male,,1,0,A/5 21171,7.7062,C123,S
124,1,1,"Taylor, Mr. Henry",male,50,0,0,347082,90.834,C123,S
125,0,2,"Smith, Mr. John",male,39,1,0,382652,32.6331,,S
126,0,3,"Taylor, Mr. Henry",male,26,0,0,PC 17599,15.1773,A12,S
127,1,1,"Miller, Mrs. Charles (Helen)",female,,2,1,A/5 21171,158.7282,C123,S
128,0,3,"Wilson, Mr. George",male,,0,0,PC 17599,15.0207,,C
129,0,2,"Miller, Mr. Charles",male,,0,0,A/5 21171,29.2043,,C
130,0,3,"Jones, Mr. Robert",male,53,1,0,19952,11.5507,,C
131,0,2,"Davis, Mr. James",male,29,0,0,330877,25.9181,E46,S
132,0,1,"Taylor, Mr. Henry",male,,1,0,19952,56.0006,D56,C
133,1,3,"Miller, Mrs. Charles (Helen)",female,18,0,0,347082,12.0338,,S
134,0,3,"Anderson, Mr. Joseph",male,54,1,1,19952,14.2251,G6,C
135,0,3,"Taylor, Miss. Annie",female,36,1,0,PC 17599,9.8229,A12,S
136,1,3,"Anderson, Mrs. Joseph (Bertha)",female,33,0,0,347082,19.8648,A12,S
137,0,2,"Jones, Mr. Robert",male,29,0,1,2649,29.4192,C123,S
138,1,3,"Wilson, Mr. George",male,13,0,0,330877,7.1214,C85,C
139,0,3,"Anderson, Mrs. Joseph (Bertha)",female,4,1,1,345763,15.0517,,C
140,0,2,"Brown, Mr. William",male,,2,0,PP 9549,16.7963,,S
141,0,3,"Moore, Mr. Thomas",male,44,0,1,17463,6.9657,,S
142,0,3,"Davis, Miss. Emma",female,4,0,0,382652,15.1454,D56,S
143,0,1,"Miller, Mr. Charles",male,36,0,0,345763,102.1045,G6,Q
144,0,2,"Wilson, Mr. George",male,,1,0,345763,24.4177,F33,S
145,0,3,"Davis, Mr. James",male,1,1,0,A/5 21171,11.5621,D56,S
146,0,2,"Wilson, Mr. George",male,25,0,0,PC 17599,31.4411,,S
147,1,2,"Jones, Miss. Alice",female,31,1,0,349909,10.1575,,S
148,0,3,"Jackson, Mr. Samuel",male,23,0,0,373450,11.2974,D56,S
149,0,3,"Smith, Mr. John",male,28,0,0,347742,9.3691,,S
150,1,3,"Smith, Mr. John",male,16,0,1,PC 17599,12.6143,G6,C
151,0,3,"Jones, Miss. Alice",female,26,1,0,330877,15.9941,E101,S
152,0,1,"Jones, Mr. Robert",male,41,1,0,PP 9549,167.0121,D56,S
153,1,1,"Taylor, Miss. Annie",female,48,0,0,349909,167.6961,,S
154,1,2,"Moore, Mrs. Thomas (Clara)",female,,0,1,113783,23.1085,D56,C
155,1,3,"Brown, Mr. William",male,45,1,0,113783,14.0368,F33,S
156,0,1,"Taylor, Mr. Henry",male,22,1,0,13502,102.684,,S
157,0,3,"Smith, Mr. John",male,35,0,1,PC 17599,15.1912,,C
158,0,1,"Taylor, Mr. Henry",male,28,2,0,382652,51.8517,E46,S
159,0,3,"Moore, Mr. Thomas",male,13,0,0,237736,12.4857,F33,S
160,1,3,"Brown, Mrs. William (Sarah)",female,39,1,3,17463,8.0027,,C
161,0,3,"Jones, Mr. Robert",male,,1,0,PP 9549,10.2114,F33,Q
162,1,3,"Brown, Mrs. William (Sarah)",female,44,0,0,A/5 21171,8.0147,,C
163,1,2,"Moore, Mr. Thomas",male,21,0,1,248706,11.9724,B78,Q
164,1,3,"Wilson, Miss. Margaret",female,,0,0,19952,15.2016,,Q
165,1,1,"Davis, Miss. Emma",female,31,0,0,PP 9549,81.4656,E46,Q
166,0,3,"Anderson, Mr. Joseph",male,27,0,0,17463,13.0022,,S
167,1,3,"Jackson, Miss. Florence",female,37,0,0,19952,14.6218,,S
168,0,2,"Moore, Mr. Thomas",male,14,0,2,113803,24.4883,C85,C
169,0,3,"Wilson, Mr. George",male,17,1,0,347082,19.8204,G6,S
170,0,3,"Moore, Mr. Thomas",male,32,0,0,347742,5.7591,,C
171,0,3,"Miller, Mrs. Charles (Helen)",female,47,0,3,113803,12.0022,B78,S
172,0,3,"Taylor, Mr. Henry",male,20,0,0,A/5 21171,12.4234,C85,Q
173,0,3,"Anderson, Mr. Joseph",male,26,0,0,350406,7.9198,C85,S
174,1,3,"Moore, Mrs. Thomas (Clara)",female,6,1,0,2649,19.6262,E46,S
175,1,3,"Wilson, Miss. Margaret",female,,0,0,382652,7.0555,B78,Q
176,1,1,"Miller, Mrs. Charles (Helen)",female,,0,0,345763,132.8876,E101,S
177,0,3,"Smith, Mr. John",male,22,0,2,237736,13.7555,,C
178,1,3,"Jackson, Miss. Florence",female,50,1,0,347742,7.5577,G6,S
179,0,1,"Moore, Mrs. Thomas (Clara)",female,,0,0,PC 17599,145.8375,A12,C
180,0,3,"Anderson, Mr. Joseph",male,45,2,0,13502,12.9969,E46,S
181,0,3,"Davis, Miss. Emma",female,27,2,3,244373,16.5676,B78,S
182,1,2,"Brown, Mrs. William (Sarah)",female,27,0,3,PP 9549,34.5513,C85,S
183,0,3,"Miller, Mr. Charles",male,37,1,0,330877,17.4193,F33,S
184,1,1,"Taylor, Miss. Annie",female,54,0,0,A/5 21171,82.8014,,S
185,1,3,"Miller, Mrs. Charles (Helen)",female,,1,0,PC 17599,14.7581,C123,S
186,0,3,"Brown, Mr. William",male,39,1,2,PC 17599,18.6984,C103,S
187,1,3,"Jones, Mr. Robert",male,63,1,0,382652,13.5194,C123,S
188,1,3,"Jones, Mr. Robert",male,16,1,0,382652,7.8922,C123,S
189,0,3,"Jackson, Miss. Florence",female,,0,0,345763,7.8974,G6,C
190,1,2,"Moore, Mr. Thomas",male,,0,2,237736,10.2049,,C
191,0,3,"Moore, Mr. Thomas",male,50,0,0,373450,9.6021,A12,S
192,0,3,"Jackson, Miss. Florence",female,29,2,0,2649,11.8247,E46,C
193,1,3,"Anderson, Mrs. Joseph (Bertha)",female,38,0,1,19952,12.8826,E46,S
194,1,1,"Taylor, Miss. Annie",female,8,0,0,19952,174.5351,,S
195,0,3,"Miller, Mrs. Charles (Helen)",female,34,0,0,237736,15.0915,,C
196,0,3,"Jones, Miss. Alice",female,30,0,0,PP 9549,19.9119,B78,S
197,1,2,"Moore, Mrs. Thomas (Clara)",female,46,4,0,2649,36.0886,G6,S
198,1,1,"Smith, Mrs. John (Mary)",female,,0,0,382652,196.2768,,S
199,1,3,"Jones, Mr. Robert",male,27,0,0,13502,9.1347,,C
200,0,3,"Smith, Mrs. John (Mary)",female,,0,0,350406,13.9668,,S
201,1,2,"Jackson, Mr. Samuel",male,31,0,2,347742,27.2833,,S
202,0,2,"Brown, Mr. William",male,22,0,0,244373,38.4556,C103,Q
203,1,1,"Anderson, Mr. Joseph",male,17,0,0,347742,57.1788,B78,S
204,1,2,"Brown, Mrs. William (Sarah)",female,38,0,2,237736,26.7186,G6,S
205,1,1,"Jackson, Mr. Samuel",male,33,0,0,349909,142.8926,,S
206,0,3,"Smith, Mr. John",male,24,0,2,373450,9.5478,,S
207,0,3,"Taylor, Miss. Annie",female,21,0,0,PP 9549,9.2459,F33,S
208,0,2,"Davis, Mr. James",male,9,3,0,248706,35.1919,E46,S
209,1,1,"Davis, Miss. Emma",female,44,1,0,244373,59.3336,G6,S
210,1,3,"Taylor, Miss. Annie",female,29,0,0,17463,16.0939,,S
211,1,1,"Jones, Mr. Robert",male,,4,2,248706,116.6903,,S
212,0,1,"Jackson, Mr. Samuel",male,,0,0,A/5 21171,35.5788,B78,C
213,0,1,"Moore, Mr. Thomas",male,,0,2,373450,28.0,,S
214,1,3,"Davis, Mr. James",male,29,0,2,113803,11.885,,S
215,0,3,"Smith, Mrs. John (Mary)",female,40,0,0,244373,5.8417,,S
216,1,3,"Jackson, Mr. Samuel",male,67,2,0,PC 17599,18.5191,B78,S
217,1,3,"Smith, Mrs. John (Mary)",female,23,0,0,350406,17.7564,,S
218,0,3,"Jones, Mr. Robert",male,5,0,0,PC 17599,16.0962,A12,S
219,0,1,"Wilson, Mr. George",male,,0,0,382652,194.5611,,S
220,0,3,"Jackson, Mr. Samuel",male,18,0,0,113803,6.2854,C85,S
221,0,1,"Wilson, Mr. George",male,14,0,0,330877,78.9468,,S
222,0,1,"Jackson, Mr. Samuel",male,12,0,0,350406,121.9885,,S
223,1,1,"Brown, Mr. William",male,27,0,0,PP 9549,144.9303,,S
224,0,2,"Davis, Mr. James",male,,0,1,382652,20.8337,B78,S
225,0,1,"Wilson, Mr. George",male,12,0,1,PP 9549,82.6698,C103,S
226,1,2,"Jackson, Miss. Florence",female,14,0,0,350406,24.7302,,S
227,1,2,"Anderson, Mrs. Joseph (Bertha)",female,58,0,3,349909,15.3978,,C
228,0,2,"Brown, Mr. William",male,40,0,0,113803,17.2606,C103,C
229,0,2,"Smith, Mr. John",male,7,2,1,13502,22.549,E46,Q
230,0,3,"Moore, Mr. Thomas",male,22,0,3,373450,15.1621,C123,C
231,0,1,"Moore, Mr. Thomas",male,19,0,0,330877,103.0112,D56,Q
232,0,2,"Brown, Mr. William",male,,2,0,113783,38.2203,E46,S
233,0,3,"Jones, Mr. Robert",male,15,0,0,373450,17.1528,,S
234,0,3,"Taylor, Mr. Henry",male,32,0,0,17463,13.3977,,C
235,1,1,"Miller, Mrs. Charles (Helen)",female,25,0,0,2649,62.5893,,S
236,0,1,"Jackson, Mr. Samuel",male,1,1,0,19952,136.844,G6,C
237,1,1,"Wilson, Mr. George",male,39,2,0,PP 9549,142.6193,,S
238,0,1,"Taylor, Mr. Henry",male,,0,0,2649,99.0318,F33,S
239,1,1,"Taylor, Mr. Henry",male,,0,1,350406,191.5723,,S
240,0,3,"Jones, Mr. Robert",male,48,0,1,347742,12.3305,E101,S
241,0,2,"Jones, Mr. Robert",male,37,1,0,347082,13.3963,,Q
242,0,3,"Davis, Miss. Emma",female,40,0,0,382652,16.0398,C85,S
243,1,2,"Jackson, Miss. Florence",female,,0,1,17463,16.2963,E46,C
244,1,3,"Miller, Mrs. Charles (Helen)",female,33,0,0,345763,19.685,C85,S
245,1,3,"Brown, Mrs. William (Sarah)",female,,1,2,330877,19.8873,,S
246,1,3,"Moore, Mrs. Thomas (Clara)",female,12,0,0,113803,9.0308,G6,C
247,1,3,"Taylor, Miss. Annie",female,,0,2,113803,10.5361,C123,S
248,0,3,"Miller, Mr. Charles",male,26,0,0,113783,8.1778,C123,S
249,1,3,"Taylor, Mr. Henry",male,33,1,1,17463,5.6891,,S
250,0,2,"Miller, Mr. Charles",male,36,0,0,237736,37.9818,,S
251,1,1,"Moore, Mrs. Thomas (Clara)",female,46,0,0,A/5 21171,157.1656,,S
252,0,1,"Brown, Mr. William",male,14,0,0,347742,175.5596,B78,S
253,1,2,"Brown, Mrs. William (Sarah)",female,,1,0,345763,33.2038,,S
254,0,3,"Jackson, Mr. Samuel",male,,0,0,113803,18.7984,D56,S
255,0,3,"Davis, Mr. James",male,,0,0,347742,16.8661,,S
256,1,3,"Miller, Mr. Charles",male,28,1,1,13502,14.8761,,Q
257,1,3,"Jackson, Miss. Florence",female,54,0,0,A/5 21171,12.4937,,Q
258,1,3,"Taylor, Miss. Annie",female,,0,0,19952,15.2441,,S
259,0,1,"Anderson, Mr. Joseph",male,,1,0,350406,134.9999,C103,C
260,0,1,"Brown, Mr. William",male,40,0,0,350406,60.5596,F33,S
261,0,3,"Moore, Mrs. Thomas (Clara)",female,21,2,0,13502,8.6672,,C
262,0,3,"Brown, Mr. William",male,20,0,0,345763,15.5225,B78,S
263,1,3,"Wilson, Miss. Margaret",female,13,1,0,345763,18.4985,C103,S
264,1,1,"Jackson, Miss. Florence",female,43,0,0,17463,112.4318,,S
265,0,2,"Taylor, Mr. Henry",male,28,0,1,330877,17.3365,E46,C
266,1,1,"Davis, Miss. Emma",female,,1,0,237736,64.2902,C103,S
267,0,3,"Smith, Mr. John",male,,0,0,382652,12.7366,G6,S
268,0,3,"Miller, Mrs. Charles (Helen)",female,18,0,0,382652,9.3739,,S
269,1,2,"Smith, Mrs. John (Mary)",female,31,1,0,347082,37.9719,,Q
270,0,3,"Miller, Mrs. Charles (Helen)",female,,1,0,345763,16.0712,,S
271,1,3,"Davis, Mr. James",male,7,0,0,347082,5.6585,A12,C
272,0,3,"Brown, Mrs. William (Sarah)",female,9,0,0,237736,14.9367,,S
273,1,3,"Davis, Miss. Emma",female,27,0,0,330877,8.5042,,S
274,1,1,"Jones, Mr. Robert",male,39,0,0,13502,174.1844,,S
275,1,1,"Miller, Mrs. Charles (Helen)",female,36,0,0,A/5 21171,114.8554,,S
276,0,3,"Davis, Miss. Emma",female,22,1,0,350406,5.925,,S
277,0,2,"Jones, Mr. Robert",male,28,0,1,330877,10.654,,C
278,1,1,"Taylor, Miss. Annie",female,50,2,0,248706,151.7754,,C
279,0,1,"Davis, Mr. James",male,,1,0,248706,133.3559,C85,C
280,0,3,"Davis, Mr. James",male,,0,0,350406,16.958,F33,S
281,0,3,"Brown, Mr. William",male,53,2,0,13502,10.8257,,S
282,1,1,"Jones, Miss. Alice",female,65,1,3,237736,195.4465,,S
283,1,3,"Moore, Mrs. Thomas (Clara)",female,42,2,0,17463,19.74,E46,S
284,1,1,"Davis, Mr. James",male,18,0,0,PP 9549,49.8679,B78,Q
285,0,1,"Jackson, Mr. Samuel",male,,0,0,113783,83.0534,,S
286,0,3,"Jones, Miss. Alice",female,41,0,0,113803,18.7584,A12,S
287,1,2,"Taylor, Miss. Annie",female,36,0,2,2649,33.7553,C123,S
288,0,3,"Miller, Mrs. Charles (Helen)",female,34,0,0,A/5 21171,9.6023,,S
289,0,3,"Davis, Miss. Emma",female,61,0,2,244373,19.513,E101,S
290,1,1,"Wilson, Miss. Margaret",female,26,0,1,237736,40.5271,D56,S
291,1,1,"Moore, Mrs. Thomas (Clara)",female,32,0,0,347082,54.1092,B78,C
292,1,3,"Jones, Mr. Robert",male,8,0,0,A/5 21171,7.4398,,S
293,1,2,"Jones, Miss. Alice",female,,0,0,A/5 21171,26.4114,C123,C
294,1,2,"Anderson, Mrs. Joseph (Bertha)",female,24,3,0,PP 9549,26.6234,,S
295,1,1,"Miller, Mr. Charles",male,31,0,0,349909,99.831,,C
296,0,1,"Miller, Mr. Charles",male,45,1,0,350406,181.6036,,Q
297,1,1,"Miller, Mrs. Charles (Helen)",female,25,0,0,330877,64.5924,E101,S
298,0,3,"Anderson, Mrs. Joseph (Bertha)",female,,0,2,345763,13.8459,,C
299,0,2,"Anderson, Mr. Joseph",male,1,0,2,19952,31.4292,E101,Q
300,0,3,"Davis, Mr. James",male,,0,3,248706,19.5825,,S
301,1,1,"Jones, Miss. Alice",female,32,0,0,2649,80.9562,,C
302,0,2,"Moore, Mr. Thomas",male,2,0,0,19952,22.5878,,S
303,1,3,"Anderson, Mrs. Joseph (Bertha)",female,34,0,0,237736,9.2914,E46,C
304,0,2,"Wilson, Mr. George",male,40,0,0,244373,11.1635,,S
305,1,3,"Jones, Miss. Alice",female,,0,0,PP 9549,12.3743,,S
306,0,3,"Davis, Mr. James",male,32,0,0,345763,7.819,C103,C
307,1,3,"Smith, Mrs. John (Mary)",female,34,0,1,349909,18.19,,S
308,1,3,"Anderson, Mr. Joseph",male,40,1,0,A/5 21171,17.3526,G6,S
309,0,2,"Jones, Mr. Robert",male,45,0,1,350406,17.7598,C85,S
310,1,1,"Moore, Mrs. Thomas (Clara)",female,24,0,0,A/5 21171,61.1779,A12,S
311,1,3,"Miller, Mr. Charles",male,,0,0,347082,19.1451,C103,C
312,0,3,"Wilson, Mr. George",male,10,0,3,PP 9549,19.4973,F33,S
313,0,3,"Miller, Mr. Charles",male,27,0,0,345763,14.8418,,S
314,1,3,"Miller, Mrs. Charles (Helen)",female,33,1,0,350406,14.831,,C
315,0,2,"Anderson, Mr. Joseph",male,12,0,0,345763,16.6709,B78,S
316,0,2,"Brown, Mr. William",male,19,1,0,347742,26.7709,C123,S
317,1,2,"Jones, Miss. Alice",female,24,0,0,19952,18.8215,B78,S
318,0,3,"Brown, Mr. William",male,32,0,0,113783,18.0627,,S
319,0,2,"Taylor, Mr. Henry",male,36,0,0,113783,33.3682,C123,S
320,1,3,"Jackson, Mr. Samuel",male,30,0,1,350406,6.3206,C103,C
321,0,2,"Anderson, Mr. Joseph",male,,1,2,A/5 21171,36.7602,,S
322,0,3,"Brown, Mr. William",male,21,0,0,PP 9549,13.8301,,S
323,0,3,"Davis, Mr. James",male,15,0,3,A/5 21171,12.3527,,C
324,1,1,"Smith, Mrs. John (Mary)",female,,0,0,2649,89.1535,G6,S
325,0,3,"Taylor, Mr. Henry",male,,1,0,2649,6.7368,G6,S
326,1,2,"Anderson, Mrs. Joseph (Bertha)",female,25,0,0,248706,13.0294,,S
327,0,3,"Anderson, Mr. Joseph",male,35,0,0,248706,8.9449,,S
328,0,2,"Jones, Mr. Robert",male,34,2,0,330877,10.0821,,C
329,1,3,"Miller, Mrs. Charles (Helen)",female,,1,0,PC 17599,11.8513,,C
330,0,1,"Jones, Mr. Robert",male,,1,0,330877,154.2445,,S
331,1,3,"Moore, Mr. Thomas",male,11,0,1,237736,7.743,G6,C
332,0,3,"Smith, Mrs. John (Mary)",female,34,1,0,248706,6.9877,,S
333,1,3,"Brown, Mr. William",male,12,0,1,373450,18.1993,B78,C
334,0,3,"Jackson, Mr. Samuel",male,,0,1,113783,12.8723,E101,S
335,0,3,"Moore, Mrs. Thomas (Clara)",female,34,1,0,13502,14.9557,,Q
336,1,1,"Taylor, Mr. Henry",male,,1,1,113783,38.1014,C123,S
337,0,3,"Taylor, Mr. Henry",male,21,0,1,373450,11.7215,D56,S
338,0,3,"Jackson, Miss. Florence",female,,0,0,345763,17.3886,,S
